created_at,text,Date,Time,Hour,Weekday,Type,Number,Location
2021-03-22T16:46:22Z,50 appointments available at Tufts Medical Center Vaccine Site - Boston on 2021-03-23. Check eligibility and sign up at https://t.co/7HcmmOZuzQ,2021-03-22,2021-03-22T16:46:22Z,12,Monday,Specific Location,50,Tufts Medical Center Vaccine Site - Boston
2021-03-22T15:15:13Z,15 appointments available at Randolph InterGenerational Center (RICC) in Randolph MA on 03/27/2021. Check eligibility and sign up at https://t.co/yQCHBX2Fv5,2021-03-22,2021-03-22T15:15:13Z,11,Monday,Specific Location,15,Randolph MA
2021-03-22T14:44:55Z,19 appointments available at UMMHC Marlborough Hospital 75 Felton St Vaccine Clinic in Marlborough MA on 2021-03-24. Check eligibility and sign up at https://t.co/Ipc7lnCrDh,2021-03-22,2021-03-22T14:44:55Z,10,Monday,Specific Location,19,Marlborough MA
2021-03-22T14:40:13Z,133 appointments available at Randolph InterGenerational Center (RICC) in Randolph MA on 03/27/2021. Check eligibility and sign up at https://t.co/yQCHBX2Fv5,2021-03-22,2021-03-22T14:40:13Z,10,Monday,Specific Location,133,Randolph MA
2021-03-22T13:21:11Z,18 appointments available at Benjamin D. Cushing Community Center in Marion MA on 03/25/2021. Check eligibility and sign up at https://t.co/DxPYLIV1l1,2021-03-22,2021-03-22T13:21:11Z,9,Monday,Specific Location,18,Marion MA
2021-03-22T13:17:28Z,40 appointments available at Southbridge Community Center in Southbridge MA on 2021-04-20. Check eligibility and sign up at https://t.co/U0QnN9SLay,2021-03-22,2021-03-22T13:17:28Z,9,Monday,Specific Location,40,Southbridge MA
2021-03-22T13:17:28Z,40 appointments available at Southbridge Community Center in Southbridge MA on 2021-04-19. Check eligibility and sign up at https://t.co/U0QnN9SLay,2021-03-22,2021-03-22T13:17:28Z,9,Monday,Specific Location,40,Southbridge MA
2021-03-22T13:17:27Z,40 appointments available at Southbridge Community Center in Southbridge MA on 2021-04-16. Check eligibility and sign up at https://t.co/U0QnN9SLay,2021-03-22,2021-03-22T13:17:27Z,9,Monday,Specific Location,40,Southbridge MA
2021-03-22T13:17:27Z,40 appointments available at Southbridge Community Center in Southbridge MA on 2021-04-15. Check eligibility and sign up at https://t.co/U0QnN9SLay,2021-03-22,2021-03-22T13:17:27Z,9,Monday,Specific Location,40,Southbridge MA
2021-03-22T13:17:27Z,40 appointments available at Southbridge Community Center in Southbridge MA on 2021-04-14. Check eligibility and sign up at https://t.co/U0QnN9SLay,2021-03-22,2021-03-22T13:17:27Z,9,Monday,Specific Location,40,Southbridge MA
2021-03-22T13:17:27Z,40 appointments available at Southbridge Community Center in Southbridge MA on 2021-04-13. Check eligibility and sign up at https://t.co/U0QnN9SLay,2021-03-22,2021-03-22T13:17:27Z,9,Monday,Specific Location,40,Southbridge MA
2021-03-22T13:17:26Z,40 appointments available at Southbridge Community Center in Southbridge MA on 2021-04-12. Check eligibility and sign up at https://t.co/U0QnN9SLay,2021-03-22,2021-03-22T13:17:26Z,9,Monday,Specific Location,40,Southbridge MA
2021-03-22T13:17:26Z,40 appointments available at Southbridge Community Center in Southbridge MA on 2021-04-09. Check eligibility and sign up at https://t.co/U0QnN9SLay,2021-03-22,2021-03-22T13:17:26Z,9,Monday,Specific Location,40,Southbridge MA
2021-03-22T13:17:26Z,40 appointments available at Southbridge Community Center in Southbridge MA on 2021-04-08. Check eligibility and sign up at https://t.co/U0QnN9SLay,2021-03-22,2021-03-22T13:17:26Z,9,Monday,Specific Location,40,Southbridge MA
2021-03-22T13:17:26Z,40 appointments available at Southbridge Community Center in Southbridge MA on 2021-04-07. Check eligibility and sign up at https://t.co/U0QnN9SLay,2021-03-22,2021-03-22T13:17:26Z,9,Monday,Specific Location,40,Southbridge MA
2021-03-22T13:17:25Z,40 appointments available at Southbridge Community Center in Southbridge MA on 2021-04-06. Check eligibility and sign up at https://t.co/U0QnN9SLay,2021-03-22,2021-03-22T13:17:25Z,9,Monday,Specific Location,40,Southbridge MA
2021-03-22T13:17:25Z,40 appointments available at Southbridge Community Center in Southbridge MA on 2021-04-05. Check eligibility and sign up at https://t.co/U0QnN9SLay,2021-03-22,2021-03-22T13:17:25Z,9,Monday,Specific Location,40,Southbridge MA
2021-03-22T13:17:25Z,40 appointments available at Southbridge Community Center in Southbridge MA on 2021-04-02. Check eligibility and sign up at https://t.co/U0QnN9SLay,2021-03-22,2021-03-22T13:17:25Z,9,Monday,Specific Location,40,Southbridge MA
2021-03-22T13:17:25Z,40 appointments available at Southbridge Community Center in Southbridge MA on 2021-04-01. Check eligibility and sign up at https://t.co/U0QnN9SLay,2021-03-22,2021-03-22T13:17:25Z,9,Monday,Specific Location,40,Southbridge MA
2021-03-22T13:17:24Z,40 appointments available at Southbridge Community Center in Southbridge MA on 2021-03-31. Check eligibility and sign up at https://t.co/U0QnN9SLay,2021-03-22,2021-03-22T13:17:24Z,9,Monday,Specific Location,40,Southbridge MA
2021-03-22T13:17:24Z,40 appointments available at Southbridge Community Center in Southbridge MA on 2021-03-30. Check eligibility and sign up at https://t.co/U0QnN9SLay,2021-03-22,2021-03-22T13:17:24Z,9,Monday,Specific Location,40,Southbridge MA
2021-03-22T13:17:24Z,40 appointments available at Southbridge Community Center in Southbridge MA on 2021-03-29. Check eligibility and sign up at https://t.co/U0QnN9SLay,2021-03-22,2021-03-22T13:17:24Z,9,Monday,Specific Location,40,Southbridge MA
2021-03-22T12:01:16Z,11 appointments available at UMass Memorial Healthcare 100 Front St Vaccine Clinic in Worcester MA on 2021-03-25. Check eligibility and sign up at https://t.co/Ipc7lnCrDh,2021-03-22,2021-03-22T12:01:16Z,8,Monday,Specific Location,11,Worcester MA
2021-03-21T07:03:17Z,"CVS appointments available in BOSTON, WORCESTER, DORCHESTER, CAMBRIDGE, SALEM, SPRINGFIELD, FALL RIVER, LEOMINSTER, LYNN, CHICOPEE, WALTHAM, QUINCY, REVERE. Check eligibility and sign up at https://t.co/CvAu09jXZH",2021-03-21,2021-03-21T07:03:17Z,3,Sunday,CVS,,CVS
2021-03-20T22:20:00Z,992 appointments available at Saint Vincent Hospital Vaccine Collaborative @ Worcester State University - Wellness Center in Worcester MA on 03/26/2021. Check eligibility and sign up at https://t.co/rKd6LNS7wT,2021-03-20,2021-03-20T22:20:00Z,18,Saturday,Specific Location,992,Worcester MA
2021-03-20T22:15:55Z,486 appointments available at Saint Vincent Hospital Vaccine Collaborative @ Worcester State University - Wellness Center in Worcester MA on 03/25/2021. Check eligibility and sign up at https://t.co/rKd6LNS7wT,2021-03-20,2021-03-20T22:15:55Z,18,Saturday,Specific Location,486,Worcester MA
